rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license,resampled_sampling_rate,resampled_filename,resampled_channels
4,no,amewig,2 (stereo),06-07-2014,Not specified,16,XC187411.mp3,Not specified,American Wigeon,Not specified,XC187411 American Wigeon (Mareca americana),[],yes,Mareca americana," Saint-Aimé-des-Lacs, Charlevoix-Est, Québec",47.7312,44100 (Hz),flight call,260 m,Couple in flight also featured in XC187408. Habitat: retention basin and marsh.,128000 (bps),mp3,Not specified,,187411,https://www.xeno-canto.org/187411,Canada,Martin St-Michel,Mareca americana_American Wigeon,-70.4221,Not specified,18:28,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC187411.wav,1 (mono)
0,,amewig,2 (stereo),5/24/2015,Not specified,3,XC293789.mp3,Not specified,American Wigeon,Not specified,XC293789 American Wigeon (Mareca americana),[],,Mareca americana," Foam Lake No. 276 (near  Leslie), Division No. 10, Saskatchewan",51.7068,44100 (Hz),male,550 m,"Recorded with Sennheiser ME64 /K6 and Olympus LS-14.

Modifications: HPF800 with 6dB roll-off; AMP 10.",128000 (bps),mp3,Not specified,,293789,https://www.xeno-canto.org/293789,Canada,Patrick Turgeon,Mareca americana_American Wigeon,-103.5791,Not specified,12:49,Patrick Turgeon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC293789.wav,1 (mono)
4,no,amewig,2 (stereo),01-03-2016,Not specified,8,XC298401.mp3,Not specified,American Wigeon,Not specified,XC298401 American Wigeon (Mareca americana),[],yes,Mareca americana," Palm Springs, Riverside County, California",33.8047,48000 (Hz),call,110 m,,128184 (bps),mp3,Not specified,,298401,https://www.xeno-canto.org/298401,United States,Jim Holmes,Mareca americana_American Wigeon,-116.5067,Not specified,09:00,Jim Holmes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC298401.wav,1 (mono)
2.5,no,amewig,2 (stereo),1/31/2016,both,15,XC301850.mp3,level,American Wigeon,03-Jan,XC301850 American Wigeon (Mareca americana),['Anas platyrhynchos_Mallard'],yes,Mareca americana," Boulder, Boulder County, Colorado",40.015,44100 (Hz),call,1600 m,"American Wigeons interacting in Boulder Creek,  Boulder County, Colorado, USA. Overcast with light snow falling. Creek mostly open.",252513 (bps),mp3,both,Mallard (Anas platyrhynchos),301850,https://www.xeno-canto.org/301850,United States,Ted Floyd,Mareca americana_American Wigeon,-105.2705,0-3(s),14:16,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC301850.wav,1 (mono)
5,no,amewig,2 (stereo),2/27/2016,Not specified,2,XC305019.mp3,Not specified,American Wigeon,Not specified,XC305019 American Wigeon (Mareca americana),[],yes,Mareca americana," Momoyama Park, Suita-shi, Osaka Prefecture",34.7912,48000 (Hz),"call, male",50 m,"Photos of this individual (not my photos):
http://yayaya-88.seesaa.net/article/432907335.html
I visited this place twice around November in last year
without listening the voice.  The bird may have become
more active in early spring.",128000 (bps),mp3,Not specified,,305019,https://www.xeno-canto.org/305019,Japan,Anon Torimi,Mareca americana_American Wigeon,135.4983,Not specified,13:30,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC305019.wav,1 (mono)
5,no,amewig,2 (stereo),2/27/2016,Not specified,1,XC305020.mp3,Not specified,American Wigeon,Not specified,XC305020 American Wigeon (Mareca americana),[],yes,Mareca americana," Momoyama Park, Suita-shi, Osaka Prefecture",34.7912,48000 (Hz),"call, male",50 m,Same individual as in XC305019.,128000 (bps),mp3,Not specified,,305020,https://www.xeno-canto.org/305020,Japan,Anon Torimi,Mareca americana_American Wigeon,135.4983,Not specified,13:30,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC305020.wav,1 (mono)
4,no,amewig,2 (stereo),2/27/2016,Not specified,2,XC305022.mp3,Not specified,American Wigeon,Not specified,XC305022 American Wigeon (Mareca americana),[],yes,Mareca americana," Momoyama Park, Suita-shi, Osaka Prefecture",34.7912,48000 (Hz),"call, male",50 m,Same individual as in XC305019.,128000 (bps),mp3,Not specified,,305022,https://www.xeno-canto.org/305022,Japan,Anon Torimi,Mareca americana_American Wigeon,135.4983,Not specified,13:00,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC305022.wav,1 (mono)
4,no,amewig,2 (stereo),2/27/2016,Not specified,1,XC305023.mp3,Not specified,American Wigeon,Not specified,XC305023 American Wigeon (Mareca americana),[],yes,Mareca americana," Momoyama Park, Suita-shi, Osaka Prefecture",34.7912,48000 (Hz),"call, male",50 m,Same individual as in XC305019.,128000 (bps),mp3,Not specified,,305023,https://www.xeno-canto.org/305023,Japan,Anon Torimi,Mareca americana_American Wigeon,135.4983,Not specified,13:00,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC305023.wav,1 (mono)
2.5,no,amewig,2 (stereo),2/27/2016,Not specified,2,XC305276.mp3,Not specified,American Wigeon,Not specified,XC305276 American Wigeon (Mareca americana),['Corvus macrorhynchos_Large-billed Crow'],yes,Mareca americana," Momoyama Park, Suita-shi, Osaka Prefecture",34.7912,48000 (Hz),"male, wing beats",50 m,"Sound when taking off from the water.
Same individual as in XC305019.",128000 (bps),mp3,Not specified,Large-billed Crow (Corvus macrorhynchos),305276,https://www.xeno-canto.org/305276,Japan,Anon Torimi,Mareca americana_American Wigeon,135.4983,Not specified,13:00,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC305276.wav,1 (mono)
2.5,no,amewig,2 (stereo),3/26/2016,decreasing,2,XC309315.mp3,level,American Wigeon,03-Jan,XC309315 American Wigeon (Mareca americana),['Anas platyrhynchos_Mallard'],yes,Mareca americana," East Providence, Providence County, Rhode Island",41.7974,48000 (Hz),call,0 m,"Recorded with Canon EOS Rebel T3i built-in mic, then amplified with Audacity. Habitat: bay-shore pond, probably brackish. Behavior: Small flock of American Wigeon with one Eurasian and several Black Ducks/Mallards feeding and preening. Plumage: Vocalization came from adult male. Conditions: Calm, mild (50 F), partly cloudy March day",128000 (bps),mp3,increasing,Mallard (Anas platyrhynchos),309315,https://www.xeno-canto.org/309315,United States,Dylan Pedro,Mareca americana_American Wigeon,-71.3791,0-3(s),13:00,Dylan Pedro,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC309315.wav,1 (mono)
0,no,amewig,2 (stereo),06-10-2016,Not specified,60,XC335125.mp3,Not specified,American Wigeon,Not specified,XC335125 American Wigeon (Mareca americana),[],yes,Mareca americana," Cut Bank, Glacier County, Montana",48.6617,44100 (Hz),call,1200 m,Recording amplified.,320139 (bps),mp3,Not specified,,335125,https://www.xeno-canto.org/335125,United States,Thomas Magarian,Mareca americana_American Wigeon,-112.4239,Not specified,12:51,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC335125.wav,1 (mono)
0,no,amewig,2 (stereo),06-10-2016,Not specified,59,XC335126.mp3,Not specified,American Wigeon,Not specified,XC335126 American Wigeon (Mareca americana),[],yes,Mareca americana," Hope Lake, Glacier County, Montana",48.6617,44100 (Hz),call,1200 m,Recording amplified.,320141 (bps),mp3,Not specified,,335126,https://www.xeno-canto.org/335126,United States,Thomas Magarian,Mareca americana_American Wigeon,-112.4239,Not specified,13:14,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC335126.wav,1 (mono)
4,no,amewig,1 (mono),07-05-2017,Not specified,9,XC379016.mp3,Not specified,American Wigeon,Not specified,XC379016 American Wigeon (Mareca americana),[],yes,Mareca americana," Revelstoke, Columbia-Shuswap, British Columbia",50.9619,44100 (Hz),"alarm call, female",440 m,Bird flushed off a nest calling from the water nearby.,128000 (bps),mp3,Not specified,,379016,https://www.xeno-canto.org/379016,Canada,James Bradley,Mareca americana_American Wigeon,-118.1997,Not specified,08:00,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC379016.wav,1 (mono)
5,no,amewig,1 (mono),1/16/2017,Not specified,12,XC384955.mp3,Not specified,American Wigeon,Not specified,XC384955 American Wigeon (Mareca americana),[],yes,Mareca americana," Centennial Park, Santa Ana, Orange County, California",33.7251,48000 (Hz),"call, male",20 m,numerous wigeons in park pond,128000 (bps),mp3,Not specified,,384955,https://www.xeno-canto.org/384955,United States,Paul Marvin,Mareca americana_American Wigeon,-117.9103,Not specified,09:09,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC384955.wav,1 (mono)
4.5,no,amewig,1 (mono),12/21/2017,Not specified,109,XC396690.mp3,Not specified,American Wigeon,Not specified,XC396690 American Wigeon (Mareca americana),['Anas platyrhynchos_Mallard'],yes,Mareca americana," Victoria, Capital, British Columbia",48.4302,44100 (Hz),call,0 m,"This is a recording of group of about 120 American Wigeons that spend most nights in this area during winter.  The group is generally silent except for calls from 1 or 2 birds, except when small groups of other Wigeons arrive.  This recording includes calls during the separate arrivals of 4 groups of smaller numbers of Wigeons.  There are calls from some of the new arrivals, as they swim closer, and a chorus of calls from the established larger group. 

The recording is made at 9:30 p.m., more than 5 hours after 4:22 p.m. sunset.  The Wigeons are a resting in the ocean 1 to 5 meters from a sandy beach.  There are about a dozen Mallards resting on the beach.  There is a Great Blue Heron resting on a nearby rock but is not heard in this recording.",160000 (bps),mp3,Not specified,Mallard (Anas platyrhynchos),396690,https://www.xeno-canto.org/396690,Canada,Barry Edmonston,Mareca americana_American Wigeon,-123.3926,Not specified,21:30,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC396690.wav,1 (mono)
3,no,amewig,2 (stereo),01-04-2018,Not specified,31,XC398300.mp3,Not specified,American Wigeon,Not specified,XC398300 American Wigeon (Mareca americana),[],no,Mareca americana," Tucson, Pima County, Arizona",32.2789,44100 (Hz),call,700 m,Urban wildlife preserve with reclaimed water retention basins.  There was about 500 American Wigeon in the basin of shallow water.  Hundreds of other dabbling duck species as well.,320000 (bps),mp3,Not specified,,398300,https://www.xeno-canto.org/398300,United States,Janine McCabe,Mareca americana_American Wigeon,-111.0223,Not specified,09:30,Janine McCabe,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC398300.wav,1 (mono)
4,no,amewig,1 (mono),2/17/2018,Not specified,11,XC403005.mp3,Not specified,American Wigeon,Not specified,XC403005 American Wigeon (Mareca americana),[],yes,Mareca americana," Fort Collins, Larimer County, Colorado",40.5032,48000 (Hz),call,1500 m,"Recording edited to filter, amplify and isolate calls of American Wigeon. A small flock of birds were actively feeding among a mixed species flock of diving ducks near the shore of a small lake (Portner Reservoir) in a suburban park.",192000 (bps),mp3,Not specified,,403005,https://www.xeno-canto.org/403005,United States,Nick Komar,Mareca americana_American Wigeon,-105.0629,Not specified,17:30,Nick Komar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC403005.wav,1 (mono)
5,no,amewig,2 (stereo),03-04-2018,level,18,XC404504.mp3,level,American Wigeon,03-Jan,XC404504 American Wigeon (Mareca americana),[],yes,Mareca americana," Seattle, King County, Washington",47.6807,44100 (Hz),"alarm call, call",10 m,flock of approximately 100 birds feeding on the grass next to a lake. Birds were alarmed by a nearby dog.,320443 (bps),mp3,level,,404504,https://www.xeno-canto.org/404504,United States,Bruce Lagerquist,Mareca americana_American Wigeon,-122.2459,0-3(s),07:30,Bruce Lagerquist,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC404504.wav,1 (mono)
4,no,amewig,1 (mono),10/29/2018,Not specified,23,XC448935.mp3,Not specified,American Wigeon,Not specified,XC448935 American Wigeon (Mareca americana),[],yes,Mareca americana," J Street Marina, Chula Vista, San Diego Co, California",32.6185,48000 (Hz),"call, female, male",0 m,four present nearby in bay,128000 (bps),mp3,Not specified,,448935,https://www.xeno-canto.org/448935,United States,Paul Marvin,Mareca americana_American Wigeon,-117.1029,Not specified,07:03,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC448935.wav,1 (mono)
4,no,amewig,1 (mono),10/29/2018,Not specified,11,XC448937.mp3,Not specified,American Wigeon,Not specified,XC448937 American Wigeon (Mareca americana),[],yes,Mareca americana," J Street Marina, Chula Vista, San Diego Co, California",32.6185,48000 (Hz),"call, male",0 m,,128000 (bps),mp3,Not specified,,448937,https://www.xeno-canto.org/448937,United States,Paul Marvin,Mareca americana_American Wigeon,-117.1029,Not specified,07:14,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC448937.wav,1 (mono)
4,no,amewoo,2 (stereo),3/16/2013,Not specified,260,XC125207.mp3,Not specified,American Woodcock,Not specified,XC125207 American Woodcock (Scolopax minor),[],yes,Scolopax minor," Lower Moreland (near  Huntingdon Valley), Montgomery, Pennsylvania",40.1175,44100 (Hz),"flight call, song",40 m,"Hayfield, peenting began at 6.14am, finished around 6.40am (sunrise 7.08am). At least seven birds.",128000 (bps),mp3,Not specified,,125207,https://www.xeno-canto.org/125207,United States,Paul Driver,Scolopax minor_American Woodcock,-75.0627,Not specified,06:27,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC125207.wav,1 (mono)
3,no,amewoo,1 (mono),04-08-2013,level,23,XC129225.mp3,level,American Woodcock,03-Jan,XC129225 American Woodcock (Scolopax minor),[],yes,Scolopax minor," South Burlington, Chittenden, Vermont",44.431,16000 (Hz),peent,100 m,decent recording except for the highway noise and the barking dog in the background.,128000 (bps),mp3,level,,129225,https://www.xeno-canto.org/129225,United States,Larry Clarfeld,Scolopax minor_American Woodcock,-73.1481,0-3(s),19:45,Larry Clarfeld,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC129225.wav,1 (mono)
3,no,amewoo,1 (mono),04-06-2012,Not specified,11,XC133048.mp3,Not specified,American Woodcock,Not specified,XC133048 American Woodcock (Scolopax minor),[],yes,Scolopax minor," Newton Hills SP, Lincoln Co., South Dakota",43.2244,44100 (Hz),call,400 m,Calling from the ground after display flight.,80000 (bps),mp3,Not specified,,133048,https://www.xeno-canto.org/133048,United States,Garrett MacDonald,Scolopax minor_American Woodcock,-96.58,Not specified,20:27,Garrett MacDonald,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC133048.wav,1 (mono)
3.5,no,amewoo,1 (mono),5/16/2013,Not specified,304,XC133923.mp3,Not specified,American Woodcock,Not specified,XC133923 American Woodcock (Scolopax minor),['Pipilo erythrophthalmus_Eastern Towhee'],yes,Scolopax minor," Cannon River Wilderness Area, Rice, Minnesota",44.385,48000 (Hz),"flight call, song",280 m,"A couple iterations of a woodcock display over a calcareous fen. A second woodcock can be heard displaying in the background.

Recorded with homemade Parabolic reflector and Olympus LS-10S. Some light filtering below 500Hz.",192000 (bps),mp3,Not specified,Eastern Towhee (Pipilo erythrophthalmus),133923,https://www.xeno-canto.org/133923,United States,Jonathon Jongsma,Scolopax minor_American Woodcock,-93.202,Not specified,21:08,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0,32000,XC133923.wav,1 (mono)
4,no,amewoo,2 (stereo),5/17/2013,increasing,66,XC134501.mp3,level,American Woodcock,03-Jan,XC134501 American Woodcock (Scolopax minor),[],yes,Scolopax minor," ZEC Louise, Le Granit, Québec",45.4596,44100 (Hz),call,460 m,One individual calling while foraging on the ground.,128000 (bps),mp3,increasing,,134501,https://www.xeno-canto.org/134501,Canada,Martin St-Michel,Scolopax minor_American Woodcock,-70.741,0-3(s),20:40,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC134501.wav,1 (mono)
4,no,amewoo,2 (stereo),03-11-2013,Not specified,90,XC138054.mp3,Not specified,American Woodcock,Not specified,XC138054 American Woodcock (Scolopax minor),[],yes,Scolopax minor," Huntingdon Valley, PA",40.1226,44100 (Hz),croaking at end of evening bout of displaying,50 m,,128000 (bps),mp3,Not specified,,138054,https://www.xeno-canto.org/138054,United States,Paul Driver,Scolopax minor_American Woodcock,-75.0635,Not specified,19:44,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC138054.wav,1 (mono)
4,no,amewoo,2 (stereo),3/16/2013,Not specified,5,XC138068.mp3,Not specified,American Woodcock,Not specified,XC138068 American Woodcock (Scolopax minor),[],no,Scolopax minor," Huntingdon Valley, PA",40.1226,44100 (Hz),"cackle, interactive call in flight",50 m,,128000 (bps),mp3,Not specified,,138068,https://www.xeno-canto.org/138068,United States,Paul Driver,Scolopax minor_American Woodcock,-75.0635,Not specified,06:21,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC138068.wav,1 (mono)
5,no,amewoo,1 (mono),02-08-2014,decreasing,13,XC166584.mp3,level,American Woodcock,03-Jan,XC166584 American Woodcock (Scolopax minor),[],yes,Scolopax minor," College Station, Brazos, Texas",30.5676,44100 (Hz),call,70 m,,160000 (bps),mp3,increasing,,166584,https://www.xeno-canto.org/166584,United States,Bryan Calk,Scolopax minor_American Woodcock,-96.2118,0-3(s),06:40,Bryan Calk,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC166584.wav,1 (mono)
3.5,no,amewoo,1 (mono),02-07-2014,Not specified,328,XC167153.mp3,Not specified,American Woodcock,Not specified,XC167153 American Woodcock (Scolopax minor),['Thryothorus ludovicianus_Carolina Wren'],no,Scolopax minor," Research Road, Everglades National Park, Florida",25.3893,48000 (Hz),"flight display, song",0 m,"mostly sang from ground. flight display at 2:05

no confirmed breeding so far south in Florida,  perhaps just a wintering bird?",128000 (bps),mp3,Not specified,Carolina Wren (Thryothorus ludovicianus),167153,https://www.xeno-canto.org/167153,United States,Paul Marvin,Scolopax minor_American Woodcock,-80.6566,Not specified,18:56,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC167153.wav,1 (mono)
